日付,商品カテゴリ,商品名,売上,数量,天気
2026-03-01,おにぎり,鮭おにぎり,120,1,晴れ
2026-03-01,飲料,コーヒー,150,1,晴れ
2026-03-01,スイーツ,シュークリーム,180,1,晴れ
2026-03-02,おにぎり,ツナマヨおにぎり,130,1,雨
2026-03-02,飲料,ホットコーヒー,160,1,雨
2026-03-02,弁当,唐揚げ弁当,500,1,雨
2026-03-03,飲料,アイスコーヒー,140,1,晴れ
2026-03-03,スイーツ,プリン,200,1,晴れ
2026-03-03,弁当,幕の内弁当,600,1,晴れ
2026-03-04,おにぎり,梅おにぎり,110,1,曇り
2026-03-04,飲料,お茶,130,1,曇り
2026-03-04,スイーツ,エクレア,190,1,曇り
2026-03-05,弁当,カツ丼,650,1,晴れ
2026-03-05,飲料,コーラ,140,1,晴れ
2026-03-05,おにぎり,鮭おにぎり,120,1,晴れ
2026-03-06,スイーツ,ケーキ,300,1,雨
2026-03-06,飲料,ホットコーヒー,160,1,雨
2026-03-06,弁当,カレー弁当,550,1,雨
2026-03-07,おにぎり,ツナマヨおにぎり,130,1,晴れ
2026-03-07,飲料,ジュース,150,1,晴れ
2026-03-07,スイーツ,プリン,200,1,晴れ
2026-03-08,弁当,唐揚げ弁当,500,1,曇り
2026-03-08,飲料,お茶,130,1,曇り
2026-03-08,おにぎり,梅おにぎり,110,1,曇り
2026-03-09,スイーツ,シュークリーム,,1,晴れ
2026-03-09,飲料,コーヒー,150,1,晴れ
2026-03-09,弁当,幕の内弁当,600,1,晴れ
2026-03-10,おにぎり,鮭おにぎり,99999,1,雨
2026-03-10,飲料,ホットコーヒー,160,1,雨
2026-03-10,スイーツ,エクレア,190,1,雨
